,id,host_id,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,with_wifi,with_air_conditioning,with_cable_tv,pets_allowed
4926,25443874,191314376,within an hour,100.0,1.0,5.0,5.0,1.0,0.0,Outer Sunset,37.76405,-122.47936000000001,1.0,House,Private room,3,1.0,1.0,2.0,Real Bed,130.0,200.0,60.0,2,35.0,1,14,1,1,14,14,1.0,14.0,yesterday,8,18,32,32,1.0,0.0,strict_14_with_grace_period,0.0,0.0,5,0,5,0,6.25,1.0,0.0,0.0,0.0
4927,25447232,55782784,within a few hours,90.0,0.0,37.0,37.0,1.0,1.0,Nob Hill,37.79013,-122.40926999999999,0.0,Boutique hotel,Entire home/apt,2,1.0,1.0,1.0,Real Bed,250.0,,,1,0.0,2,20,2,2,20,20,2.0,20.0,3 weeks ago,0,0,0,43,1.0,1.0,flexible,0.0,0.0,36,11,25,0,0.38,1.0,1.0,0.0,0.0
4928,25447312,55782784,within a few hours,90.0,0.0,37.0,37.0,1.0,1.0,Chinatown,37.79176,-122.40874,0.0,Boutique hotel,Entire home/apt,2,1.0,1.0,1.0,Real Bed,250.0,,,1,0.0,2,20,2,2,20,20,2.0,20.0,3 weeks ago,0,0,0,43,1.0,1.0,flexible,0.0,0.0,36,11,25,0,0.11,1.0,1.0,0.0,0.0
4929,25447328,55782784,within a few hours,90.0,0.0,37.0,37.0,1.0,1.0,Downtown/Civic Center,37.790040000000005,-122.40941000000001,0.0,Boutique hotel,Entire home/apt,2,1.0,1.0,1.0,Real Bed,250.0,,,1,0.0,2,20,2,2,20,20,2.0,20.0,3 weeks ago,0,0,0,43,1.0,1.0,flexible,0.0,0.0,36,11,25,0,0.22,1.0,1.0,0.0,0.0
4930,25447342,55782784,within a few hours,90.0,0.0,37.0,37.0,1.0,1.0,Chinatown,37.79119,-122.40738999999999,0.0,Boutique hotel,Entire home/apt,2,1.0,1.0,1.0,Real Bed,250.0,,,1,0.0,2,20,2,2,20,20,2.0,20.0,3 weeks ago,0,0,0,42,1.0,1.0,flexible,0.0,0.0,36,11,25,0,,1.0,1.0,0.0,0.0
4931,25447349,55782784,within a few hours,90.0,0.0,37.0,37.0,1.0,1.0,Nob Hill,37.7902,-122.40893999999999,0.0,Boutique hotel,Private room,2,1.0,1.0,1.0,Real Bed,250.0,,,1,0.0,2,20,2,2,20,20,2.0,20.0,3 weeks ago,0,0,0,42,1.0,1.0,flexible,0.0,0.0,36,11,25,0,0.11,1.0,1.0,0.0,0.0
4932,25447359,55782784,within a few hours,90.0,0.0,37.0,37.0,1.0,1.0,Chinatown,37.79035,-122.40821000000001,0.0,Boutique hotel,Private room,2,1.0,1.0,1.0,Real Bed,250.0,,,1,0.0,2,20,2,2,20,20,2.0,20.0,3 weeks ago,0,0,0,42,1.0,1.0,flexible,0.0,0.0,36,11,25,0,,1.0,1.0,0.0,0.0
4933,25449566,55782784,within a few hours,90.0,0.0,37.0,37.0,1.0,1.0,Chinatown,37.79209,-122.40768999999999,0.0,Boutique hotel,Private room,4,2.0,1.0,2.0,Real Bed,300.0,,,1,0.0,2,24,2,2,24,24,2.0,24.0,3 weeks ago,0,0,0,42,1.0,1.0,flexible,0.0,0.0,36,11,25,0,,1.0,1.0,0.0,0.0
4934,25449652,55782784,within a few hours,90.0,0.0,37.0,37.0,1.0,1.0,Chinatown,37.79051,-122.40744,0.0,Boutique hotel,Entire home/apt,4,1.0,1.0,2.0,Real Bed,300.0,,,1,0.0,2,20,2,2,20,20,2.0,20.0,3 weeks ago,0,0,0,42,1.0,1.0,flexible,0.0,0.0,36,11,25,0,0.11,1.0,1.0,1.0,0.0
4935,25459025,183402283,within an hour,100.0,0.0,5.0,5.0,1.0,0.0,Ocean View,37.71301,-122.4607,0.0,House,Private room,3,2.0,1.0,2.0,Real Bed,40.0,0.0,25.0,1,10.0,1,28,1,1,28,28,1.0,28.0,3 days ago,8,30,53,143,1.0,0.0,strict_14_with_grace_period,0.0,0.0,5,1,4,0,3.7,1.0,0.0,0.0,0.0
